Class,Policy
Mitigation,Work with SDG&E to reach 100 percent of households with targeted educational and marketing materials (e.g. website or e-blast)
Mitigation,Work with SDG&E to enroll Del Mar’s top 10 energy users in an energy benchmarking program
Mitigation,Facilitate the permit process for 25 percent of planning or building applications for solar projects by 2020 (beyond state requirements)
Mitigation,Work with SDG&E to develop targeted educational and marketing materials (e.g. website or e-blast) to reach 10 percent of businesses annually
Mitigation,Work with SDG&E to enroll Del Mar’s top business 10 energy users in a benchmarking program
Mitigation,Encourage San Diego County Fairgrounds and hotels in Del Mar to install additional PV
Mitigation,Work with SDG&E to develop targeted educational and marketing materials (e.g. website or e- blast) to reach 10 percent of households annually
Mitigation,Work with SDG&E to enroll Del Mar’s top 10 energy users in a benchmarking program
Mitigation,Work with SDG&E to develop targeted educational and marketing materials (e.g. website or e-blast) to reach 10 percent of property owners annually
Mitigation,Work with SDG&E to enroll Del Mar’s top 10 multi-family residential energy users in a benchmarking program
Mitigation,"Work with SDG&E to develop targeted educational and marketing materials (e.g., website or e-blast) to reach 10 percent of businesses annually"
Mitigation,Work with SDG&E to enroll Del Mar’s top 10 non-residential energy users in a benchmarking program
Mitigation,"Work with SDG&E to develop targeted educational and marketing materials (e.g., website or e- blast) to reach 10 percent of households annually"
Mitigation,Encourage SDG&E to achieve 100 percent renewable energy by 2035
Mitigation,Explore partnering with neighboring cities (e.g. Solana Beach and Encinitas) to join together with
Mitigation,Del Mar in forming a CCA
Mitigation,Advocate for pursuit of a regional CCA for San Diego County
Mitigation,Explore installation of solar on new City Hall and other City facilities
Mitigation,Implement a Water and Energy Conservation Ordinance (WECO) to require water and energy efficiency upgrades applicable to existing homes at time of sale 
Mitigation,Support implementation of PACE programs in Del Mar and continue to assess other efficiency financing tools for possible use in the community 
Mitigation,Maintain a water waste reporting public education and enforcement program to repair leaks and decrease over-irrigation 
Mitigation,Educate property owners about eligibility for PACE financing 
Mitigation,Actively promote water efficiency rebate programs offered by San Diego County Water
Mitigation,Authority (SDCWA) and Metropolitan Water District (MWD) 
Mitigation,"Promote programs/resources to help customers convert to more water- efficient landscaping (i.e., SDCWA rebates for removing lawns)"
Mitigation,Update the City's landscape
Mitigation,ordinance to implement a lower maximum area water allowance (MAWA) to exceed state minimum requirements
Mitigation,Develop a public education program to promote use of pool covers on a voluntary basis 
Mitigation,Explore implementation of a pool cover rebate program 
Mitigation,Explore implementation of requiring pool covers by ordinance 
Mitigation,"Adopt a policy that requires all City-sponsored events (and City-funded non-profit events) to be zero waste (e.g. use recyclable and compostable materials and provide corresponding waste receptacles), and promote zero-waste events to community organizations and businesses. "
Mitigation,Adopt a policy that requires a minimum of 75 percent of construction and demolition (C&D) waste be recycled or re-used 
Mitigation,Develop an Organics Diversion Program to eliminate organic waste from landfills (AB 1826 requires businesses to arrange for organics diversion and will be phased in from 2016 to 2020) 
Mitigation,Start and implement a pilot education program on organics recycling
Mitigation,Develop a food recycling plan for restaurants in Del Mar and collaborate with other
Mitigation,municipalities to develop a regional plan
Mitigation,Advocate to the agencies that own and operate the landfills serving Del Mar to encourage increased methane capture at the landfills 
Mitigation,Advocate to the City of San Diego and San Elijo JPA for increased methane capture at wastewater treatment plants that serve the City of Del Mar
Mitigation,"Advocate to San Diego Metropolitan Transit System (MTS), NCTD, and SANDAG to improve transit service and promote east- west shuttle on Del Mar Heights Road "
Mitigation,Advocate to SANDAG/MTS (collaborating with NCTD) to expand transportation offerings to the Fairgrounds for major events from central areas of San Diego 
Mitigation,"Advocate for funding of bus enhancements (i.e., Express (limited stops) or Bus Rapid Transit (BRT)) on Camino del Mar/101 Coastal Highway "
Mitigation,"Adopt a Complete Streets policy, either as a standalone policy or as part of the Community Plan, which considers every transportation mode and user when designing streets, and incorporates multimodal design principles in all projects "
Mitigation,"Seek opportunities to collaborate with SANDAG on successfully implementing its North Coast TDM plan, and connect Del Mar employers and residents to travel-planning resources "
Mitigation,Review Key Performance Indicators (KPIs) in SANDAG’s TDM implementation plan at least once annually 
Mitigation,"Improve connectivity (by public transit, bicyclists, and pedestrians) to the Solana Beach train station for access to commuter rail "
Mitigation,Advocate for construction of a special event rail platform at the San Diego County Fairgrounds to facilitate use of rail by event attendees and employees 
Mitigation,Incorporate bus stops and transit system infrastructure as part of the Camino Del Mar streetscape project in the central area of Del Mar
Mitigation,"Incorporate a “Complete Streets” approach in designing streets and explore adoption of a Complete Streets policy, either as a standalone policy of as part of the Community Plan, which considers every transportation mode and user for applicable arterial streets and incorporates multimodal design principles in all projects "
Mitigation,Explore implementation of a bike share program offered through the hotels to provide another transportation alternative for visitors traveling in town 
Mitigation,Explore implementation of a bike valet program for special events to facilitate use of bicycles to attend special events 
Mitigation,"Explore a bicycle master plan for the City that analyzes bicycle paths with logical destinations within the City, connects to the regional bicycle path network, and then prioritizes the most effective bicycle path routes for implementation. This bike master plan would apply to arterial roadways and potential local streets. Since we already have bike lanes on our arterials, the bicycle master plan could also focus on how to make existing bike lanes more complete and user-friendly, including options such as:  Widening bike lanes;Enhancing safety elements and markings; Incorporation into the regional bike-way finding effort; and Looking at locations to place additional bicycle racks and repair stations "
Mitigation,"Incorporate a “Complete Streets” approach in designing streets and explore adoption of a T3 Complete Streets policy, either as a standalone policy of as part of the Community Plan, which considers every transportation mode and user for applicable arterial streets and incorporates multimodal design principles in all projects "
Mitigation,Explore development of a pedestrian master plan that would comprehensively review and plan for pedestrian improvements and identify mobility linkages to promote walkability and safety for pedestrians 
Mitigation,"Complete a streetscape improvement project along Camino Del Mar in the central area that subscribes to alternative transportation principles and improves circulation, ADA access, and safety for pedestrians "
Mitigation,Pursue completion of the last segment of the scenic loop trail on the perimeter of the City limits which serves a recreational amenity for pedestrians and as another circulation option within the community
Mitigation,Support public and private sector provision of alternative fueling stations in Del Mar and adjacent cities
Mitigation,Explore grant funding for electric car chargers
Mitigation,Explore the potential for replacing municipal fleet with electric cars when feasible
Mitigation,Advocate for expansion of an electrical vehicle car sharing fleet network to serve Del Mar
Mitigation,Set aside 10 percent of all on-street parking spots on Camino del Mar and in City-owned lots for high-efficiency and clean vehicles by 2020 
Mitigation,Explore modifying the Del Mar Municipal Code parking standard requirements to incentivize stalls designed for micro-vehicles and to provide a credit toward parking requirements for providing parking stalls for electric vehicles and charging station. 
Mitigation,"As part of the Camino Del Mar Streetscape project design, plan to include spaces designated for electric vehicles "
Mitigation,Include dedicated stalls for electric vehicle parking and charging stations at City facilities. 
Mitigation,Construct at least three roundabouts at intersections with stop signs or traffic signals by 2020
Mitigation,"Seek opportunities to collaborate with SANDAG on successfully implementing T7 its North Coast TDM plan, and connect Del Mar employers and residents to travel-planning resources "
Mitigation,"Seek opportunities to collaborate with SANDAG on successfully implementing its North Coast TDM plan, and connect Del Mar employers and residents to travel-planning resources"
Mitigation,Review Key Performance Indicators (KPIs) in SANDAG’s TDM implementation plan at least once annually
Mitigation,"Seek opportunities to collaborate with SANDAG on successfully implementing its North Coast TDM plan, and connect Del Mar employers and residents to travel- planning resources"
Mitigation,Explore modifying the Del Mar Municipal Code parking standard requirements to incentivize provision of stalls designed for carpool or vanpool vehicles as a credit toward parking requirements
Mitigation,Develop a fleet management program to guide the replacement of non-public safety vehicles to alternative-fuel vehicles.
Mitigation,Continue to install EV charging stations at City Hall parking lots and Public Works yard for municipal fleet and City employee use.
Mitigation,"Incentivize the installation of EV charging stations at new multi-family and commercial developments through reduced fees
and expedited permitting."
Mitigation,Amend the zoning code to increase preferential parking spaces for clean air vehicle parking.
Mitigation,Support the CVUSD and GUHSD in their efforts to convert the bus fleet to electric buses.
Mitigation,Continue to use a waste hauler that uses fuel-efficient or alternative fuel waste trucks.
Mitigation,Convert hand tools used by City maintenance staff from gasoline to electric.
Mitigation,"Evaluate new clean energy multi-purpose Public Works equipment for replacement of older, inefficient equipment."
Mitigation,Partner with SDG&E’s Power Your Drive for EV infrastructure installation.
Mitigation,Continue efforts with SDG&E’s Power Your Drive to provide options for City employees to utilize alternative fuel or clean air vehicles for work.
Mitigation,Pursue grant funding to install publicly available EV charging stations at City facilities.
Mitigation,Continue to require EV charger pre-wiring per CALGreen in new developments.
Mitigation,"Collaborate with school districts (e.g., CVUSD, GUHSD) to increase school bus use through education, programs, and new routes."
Mitigation,"Continue efforts to synchronize traffic lights in priority areas and pursue grants to develop a citywide traffic signal
synchronization plan."
Mitigation,Install roundabouts on El Cajon Boulevard as identified in the TDSP.
Mitigation,Increase the use of renewable and alternative fuel use in construction equipment.
Mitigation,"Pursue grants for citywide synchronization plan and for installation of the remaining two roundabouts identified in
the TDSP."
Mitigation,Refer to the Active Transportation Plan to evaluate other potential locations for roundabouts.
Mitigation,Require new non-residential development to develop a TDM Plan.
Mitigation,Complete an Active Transportation Plan that includes a sidewalk master plan and an updated Bicycle Master Plan.
Mitigation,Coordinate with MTS on the development of the MTS Parking Lot with residential uses at the El Cajon Transit Center.
Mitigation,"Allow for parking reductions, or deviations from development standards, for developments in the Mixed-Use Residential
Overlay Areas."
Mitigation,"Reduce parking in projects built in Mixed-Use Overlay Areas by an average of 40 percent through
2030."
Mitigation,"Transition to an online submittal permitting system, where all permits are processed online, reducing the need to drive to
obtain permits."
Mitigation,Identify employers to connect to vanpools and carpools through SANDAG’s iCommute Program.
Mitigation,Pursue grant funding to complete the Johnson Avenue multi-use path.
Mitigation,Complete the Washington Avenue Road Diet Project.
Mitigation,"Amend the Zoning Code to expand the range of permitted home-based businesses to allow for low-impact
businesses that may have limited customers or employers."
Mitigation,"Continue efforts with SANDAG’s iCommute to provide alternative options for City employees to reduce VMT.
Encourage the use of transit, walking, or biking."
Mitigation,Implement City policy on complete streets.
Mitigation,"Require a whole home energy audit for residential additions over 500 square feet and incentivize energy retrofits through
reduced fees and expedited permitting."
Mitigation,"Continue Habitat for Humanity’s Critical Home Repair Program and other programs for single-family and mobile home
rehabilitation loans that fund energy efficiency improvements."
Mitigation,"Require a whole building energy audit for non-residential additions and tenant improvements valued at over $80,000 or
over 1,800 square feet and incentivize energy retrofits through reduced fees and expedited permitting."
Mitigation,"Continue to implement lighting and other retrofit measures at municipal facilities, as recommended by SANDAG’s Energy
Roadmap program."
Mitigation,Retrofit City-owned HPS street lights with LED street lights.
Mitigation,Encourage energy efficiency improvements through rebates or incentives.
Mitigation,Explore the development of an offset program to finance energy retrofits for existing residential properties.
Mitigation,Provide information to the public on energy efficiency improvements made available through energy audits.
Mitigation,"The City will make every reasonable effort to prioritize programs for funding that improves energy efficiency or
increase renewable energy production."
Mitigation,"Evaluate municipal facilities and operations for additional energy savings opportunities through SANDAG’s Energy
Roadmap program."
Mitigation,"Incentivize, through an energy audit program, PV installation on existing commercial buildings by providing reduced fees and
expedited permitting."
Mitigation,Support the school districts’ efforts to install PV systems at school sites.
Mitigation,Research methods to increase grid-supply of renewable and zero-carbon electricity.
Mitigation,Continue to support State and local utility efforts to increase renewable sources of electricity.
Mitigation,Encourage lower-income home owner participation in local solar programs.
Mitigation,Encourage large commercial or industrial buildings to install solar.
Mitigation,"Create solar partnerships with large building owners (e.g., Parkway Plaza)."
Mitigation,"Evaluate solar at City facilities, including the potential for a micro grid at the Public Works yard."
Mitigation,Amend the Municipal Code to require covers on new residential swimming pools.
Mitigation,Require installation of weather-based irrigation controllers for all projects submitting landscape plans.
Mitigation,Continue to support Helix Water District’s efforts to incentivize water conservation through rebates and free water audits.
Mitigation,Identify water efficiency opportunities by conducting a water audit of City facilities.
Mitigation,"Continue to assess feasibility of the implementation of the East County Advanced Water Purification Program through
a continued partnership with Padre Dam Municipal Water District, Helix Water District, and the County of San Diego."
Mitigation,Implement targets for citywide solid waste reduction and recycling goals.
Mitigation,"Provide education outreach on the various recycling options (e.g., textiles, paper, plastic, metals, and glass)."
Mitigation,Continue working with the City’s waste hauler on educational outreach efforts for recycling.
Mitigation,Develop a program for organic diversion and recycling.
Mitigation,"Support the efforts of the Padre Dam Water District to include organics in their Solids Handling and Energy, Recovery Facilities to use organic waste to produce energy through on-site co-generation."
Mitigation,Continue to require development projects to plant a minimum of one tree per 600 square feet of required landscape area.
Mitigation,"Update the landscape ordinance to require a minimum of one shade tree per five parking spaces in surface parking lots for
all new developments."
Mitigation,Require all new developments to plant one street tree for every 30 linear feet of street frontage.
Mitigation,"Install new street trees in street capital improvement projects, where feasible, and where redesign or
reconstruction of the street is proposed."
Mitigation,Continue the urban forestry program to maintain the City’s tree inventory.
Mitigation,"Pursue grant opportunities to fund street planting along pedestrian corridors to provide sequestration and
beautification benefits."
Mitigation,Develop a tree preservation or replanting ordinance intended to preserve large canopy shade trees.
Adaptation,"Incorporate green infrastructure strategies into new and existing infrastructure to mitigate the effects of the UHIE by reducing the area of heat-absorbing paved surfaces and increasing landscaped area with planted vegetation, including shade trees. Examples of green infrastructure include street trees, climate-appropriate landscaping, green and cool roofs, and heat-reflective surfaces and materials. These actions will decrease instances of heat-related illness, improve air quality, and lower energy costs associated with indoor cooling."
Adaptation,"Promote the use of solar carports on new and existing surface parking lots to mitigate heat absorption and increase shaded areas for the City’s population. Implementation priority will be given to City-owned parking lots to serve as example solar carports. Solar carports would additionally provide GHG-reducing co-benefits by increasing distributed solar generation and, if electric vehicle charging stations are added, improving charging accessibility."
Adaptation,"Promote the use of passive cooling design (e.g. appropriate building orientation, shade trees, window shading, cool roofs) and use the California Building Standards Code (CalGreen) voluntary measures for residential and nonresidential buildings to improve energy efficiency. Other energy efficiency measures (e.g. air sealing improvements, whole house fans, energy efficient air-conditioning units) should be encouraged in new development within the City to reduce demand for air conditioning and help reduce energy costs."
Adaptation,"Conduct outreach to educate City residents on the health risks associated with extreme heat events and strategies to prepare for these events. Alongside general outreach, particular focus should be given to educating populations vulnerable to extreme heat including children and the elderly."
Adaptation,"Coordinate with relevant agencies including, but not limited to, the San Diego County Office of Emergency Services, San Diego Unified Disaster Council, and San Diego Fire Department to better plan and prepare for extreme heat events and the increased demand for emergency services associated with these events. Coordinated efforts should include improving Heat-Health Alert Warning Systems, identifying key vulnerable populations within the City in preparation for heat related events, and coordinating with local health care institutions (e.g. Scripps Memorial Hospital) to increase extreme heat preparedness and resiliency."
Adaptation,"Work with local and regional employers to ensure worker protection measures are in place for extreme heat events. Measures may include assurance of adequate water, shade, rest breaks, and training on heat risks for all employees working in the City."
Adaptation,"Work with local businesses and institutions to provide a network of “Cool Zone” areas (i.e., cooling centers) for vulnerable residents to rest in air-conditioned environments during high temperature periods and heat wave events. Cooling centers can include locations like he Encinitas Library and the Encinitas Community and Senior Center. Work with the local school districts to ensure every school has air conditioning."
Adaptation,"Participate in beach nourishment projects that maintain local wide sandy beaches. Encinitas beaches are considered regional “Cool Zones.” By maintaining the beach width, the City will be able to handle larger numbers of coastal visitors, when needed, keeping the public a safe distance from the bluffs."
Adaptation,"Coordinate with local and regional partners (SDWD, OMWD, SDCWA) to support and improve water conservation efforts and programs for City residents. Coordinate with these agencies to provide educational outreach to residents on how best to conserve water and reduce water demand."
Adaptation,"Expand and/or improve the recycled water efforts currently in place at the San Elijo Water Reclamation Facility along with corresponding water conservation efforts to ensure that, when economically viable, all current and future city landscaping can source the majority of landscaping water needs from recycled sources."
Adaptation,"Work with relevant water agencies, including SDCWA, OMWD, and SDWD, to evaluate current and future water supply systems and vulnerabilities and how water resources may be impacted by climate change."
Adaptation,"Continue marketing and outreach program to promote participation in existing water conservation rebate and incentive programs in the region. Current programs for southern California include Water Smart San Diego (SDCWA), SoCal WaterSmart (Metropolitan Water District), and SDWD’s free sprinkler nozzle program."
Adaptation,"Expand upon the City’s existing Water Efficient Landscape Regulation to promote the use of climate appropriate landscaping (e.g., xeriscaping) to reduce demand for potable water resources among City residents. Promote current funding available through the Save Our Water Turf Replacement Rebate Program sponsored by DWR."
Adaptation,"Coordinate with relevant agencies including OES, the California Department of Forestry and Fire Protection (CAL FIRE), and the Encinitas Fire Department to map and identify current and future land uses, neighborhoods, and infrastructure that are at a high risk of experiencing wildfire impacts."
Adaptation,Continue to update the MHMP every five years as required by the state to comprehensively plan for current and future wildfire risks within the City and work to implement all strategies in the City’s current MHMP.
Adaptation,"Update the Safety Element of the City’s General Plan consistent with the Office of Planning and Research (OPR) General Plan Guidelines, which requires adopted safety elements to consider climate change and climate adaptation strategies pursuant to SB 379."
Adaptation,"Work with relevant State agencies, including OES and CAL FIRE, to improve coordination for emergency services related wildfire and related events in the City. Consider the development of a Community Wildfire Protection Plan to increase community resilience too wildfire events."
Adaptation,"Consider new development standards for City residents and businesses within the UWI, such as incorporating defensible space practices into landscape requirements for neighborhoods at increased risk of wildfire. Residential areas that should be considered for new standards include neighborhoods surrounding Lux Canyon, Saxony Canyon, the Manchester Preserve, and Escondido Creek."
Adaptation,Conduct a comprehensive assessment of all stormwater and wastewater infrastructure in the City and analyze how this infrastructure may be affected or compromised by increased risk of flooding events.
Adaptation,"Coordinate with relevant agencies such as OES and the Encinitas Public Works Department to map and identify all critical facilities and infrastructure that may be compromised by increased flood risk. The City should plan accordingly for upgrades, relocation of facilities and infrastructure or identify beach nourishment projects to better prepare for increased risk of flooding events."
Adaptation,"Coordinate with relevant agencies such as FEMA, OES and the Encinitas Fire Department to better plan and prepare emergency services required for flooding events including evacuation services, flood management services and recovery services."
Adaptation,Continue local and regional ecosystem restoration efforts that will result in increased climate resiliency for flooding events within the City.
Adaptation,Support and monitor ongoing analysis of sea-level rise data relevant to the City’s planning efforts. Continue to incorporate the most up-to-date information on sea-level rise into relevant planning documents including the Safety Element of the City’s General Plan.
Adaptation,"Develop a Coastal Resiliency Mitigation Report to coordinate FEMA, tsunami mapping and the CoSMoS predictions for sea level rise. Utilize maps and FEMA Hazus software to estimate potential losses from tsunamis or sea level rise to map and display hazard data and the results of damage and economic loss estimates for building and infrastructure. By estimating losses, it provides a basis for developing mitigation plans and policies, emergency preparedness and response and recovery planning. Additionally, provide assistance to residents currently at risk of coastal erosions in preparing for future impacts."
Adaptation,Develop a comprehensive outreach strategy to receive stakeholder input and educate residents about sea-level rise and how the community can best prepare for these impacts.
Adaptation,"Continue to implement current efforts focused on beach nourishment, coastal bluff improvements and wetland restoration, prioritizing projects that will mitigate the impacts sea-level rise including coastal erosion and saltwater inundation."
Adaptation,"Coordinate with relevant agencies including FEMA, and OES to prepare and plan for the impacts of coastal erosion, sea-level rise, and coastal storm surge, continuously updating and utilizing the most relevant strategies and guidance provided by relevant agencies and institutions."
Adaptation,Continue to map critical infrastructure in the City that may be impacted by sea-level rise and work with City’s Public Works Department to plan accordingly.
Adaptation,Work with local community organizations to develop a climate change education outreach program focused on residents.
Adaptation,Work with local businesses and business organizations to develop a climate change education outreach program focused on local businesses and the economy.
Adaptation,"Work with local schools, school districts and other educational organizations to develop a climate change education outreach program focused on children and future generations."
Mitigation,Adopt an ordinance requiring all existing residential property owners conducting major renovations to implement energy efficiency retrofits.
Mitigation,"Adopt an ordinance requiring electrification of new residential buildings, including single family homes and low-rise multi-family homes."
Mitigation,"Evaluate adopting an ordinance requiring 1) all new commercial buildings, including commercial portion of mixed-use projects, and 2) commercial building additions of 1,000 square feet or greater or alterations with a permit value of at least $200,000 to meet the 2019 California Green Building Standards Code Nonresidential Tier 1 Voluntary Measures."
Mitigation,"Adopt a building ordinance that requires all new commercial buildings, including the commercial portion of mixed-use projects, to install electric conduit and wiring sufficient to operate electrical appliances and require electric appliances to be installed."
Mitigation,Facilitate homeowner and business owner financing of energy efficiency measures by expanding PACE financing options.
Mitigation,Expand and implement a Green Building Incentive Program to promote energy retrofits at homes and businesses.
Mitigation,Educate homeowners about the energy audit process and any applicable incentives and streamline the process of identifying energy auditing contractors.
Mitigation,"Educate homeowners and businesses about incentive programs offered by SDG&E, CSE, and others in the region."
Mitigation,Promote pool pump conversions to variable speed pumps.
Mitigation,Continue energy efficiency permit fee waiver program.
Mitigation,Support the state's efforts to enact decarbonization legislation.
Mitigation,"Educate homeowners and businesses on decarbonization, building electrification, and electric appliance options."
Mitigation,"Reduce municipal energy use below 2012 baseline energy use. Municipal facilities include the Civic Center, libraries, Community Center, fire stations, parking lots and more."
Mitigation,Conduct audits to quantify energy use and to identify and quantify energy efficiency and conservation opportunities.
Mitigation,"Identify grants, rebate and incentive programs, and financing opportunities for municipal energy efficiency programs."
Mitigation,Adopt a policy that new municipal buildings will be ZNE buildings.
Mitigation,"Convert City streetlights, traffic signals, and outdoor lighting to LED or other efficient lighting technology and monitor with energy management system."
Mitigation,Implement the Environmentally Preferable Purchase Policy.
Mitigation,Continue to track State legislation and lobby for change were proposals align with City goals and vision.
Mitigation,Present to City Council for consideration a Community Choice Energy program that increases renewable electricity supply.
Mitigation,"Require 1) New single-family homes to install at least 1.5 W solar per square feet (e.g., 2,000 sq. ft. home = 3 kW) or minimum 2 kW per home; 2) New multi-family homes to install at least 1 W solar per square feet (e.g., 1,000 sq. ft. home = 1 kW) or minimum 1 kW per unit, to install solar PV systems, unless the installation is impracticable due to poor solar resources."
Mitigation,"Adopt an ordinance requiring installation of solar photovoltaic systems on 1) all new commercial buildings, including the commercial portion of mixed-use projects, 2) commercial building additions that increase total roof area by at least 2,000 sq. ft. or alterations with a permit value of at least $1,000,000 that affect at least 75% of gross floor area, unless the installation is impracticable due to poor solar resources or other phyicial constaints, as approved Director of Development Services."
Mitigation,Develop RFP and allocate funds for CCE Technical Feasibility Study.
Mitigation,"Expand and implement a Green Building Incentive Program to increase the installation of solar PV, solar water heating at homes and businesses."
Mitigation,Facilitate homeowner and business owner financing of renewable energy systems by expanding PACE financing options.
Mitigation,"Consider the purchase of Renewable Energy Credits (RECs), if needed, to achieve to achieve 100% renewable electricity supply in 2030."
Mitigation,"Supply municipal facilities with onsite renewable energy to achieve ""Net Zero Electricity"" municipal operations. Implement ""City of Encinitas Solar Assessment Report"" by installing 1.3 MW of solar systems at city facilities."
Mitigation,Conduct audits to quantify energy use and to identify and quantify energy efficiency and conservations opportunities.
Mitigation,"Identify grants, rebate and incentive programs, and financing opportunities for municipal energy efficiency and renewable energy programs."
Mitigation,SDWD and OMWD complete regualar water rate studies and adopt modified water rates as approved by Board of Directors.
Mitigation,Facilitate homeowner and business owner financing of water efficiency measures by expanding PACE financing options.
Mitigation,Educate homeowners and businesses about water efficiency rebate and incentive programs offered to SDWD and OMWD customers.
Mitigation,Evaluate key challenges that were identified in the 2016 SDWD Potable Reuse Feasibility Study.
Mitigation,Conduct audits and retrofit all municipal facilities with water-efficient features to reduce potable water use at municipal facilities.
Mitigation,"Convert all current municipal landscape adjacent to recycled water pipelines to recycled water. Look for opportunities to work with the San Elijo Joint Powers Authority to extend recycled water pipelines to additional municipal facilities, when economically viable."
Mitigation,Evaluate reducing the landscape area thresholds for projects to meet regulations outlined in the City's existing Water Efficient Landscape Ordinance (EMC Chapter 23.26). This ordinance promotes water conservation by requiring new and redeveloped landscapes to use water efficient plants and technology.
Mitigation,Implement and enforce the Water Supply Shortage Response Program ordinances (administered by SDWD and OMWD) which
Mitigation,The City's Clean Water Program will continue to be actively involved in the Carlsbad Watershed Water Quality Improvement Plan development and implementation.
Mitigation,Implement a Low Impact Development Outreach and Incentive Program for residents and businesses.
Mitigation,Work with developers to implement Low Impact Development and other stormwater features on new and redevelopment projects.
Mitigation,"Source water from least-cost sources first, whenever possible."
Mitigation,"Implement the bicycle and pedestrian projects in the Active Transportation Plan (ATP). In concert with the Housing Element housing site build-out, ATP projects are estimated to lead to a 9% shift in bicycle mode share and 8% shift in walk mode share within the vicinity of ATP projects."
Mitigation,"Implement service routes recommended in Encinitas Transit Feasibility Study, using CNG buses for these routes, or alternate shuttle system, as approved by City Council:
By 2020: Express Services to educational facilities - one route to Mira Costa College and and one route to La Costa Canyon High School.
By 2025: One route to Encinitas Circulator and one to Encinitas COASTER connection."
Mitigation,Develop and implement a complete streets policy.
Mitigation,Develop program to support car sharing and bike sharing for the community. A regional Bikeshare program for the North County coastal area is currently in development. The Bikeshare program is expected to increase the number of trips taken by bike and reduce car trips.
Mitigation,Complete Safe Routes to Schools projects to decrease need to drive students to school.
Mitigation,Coordinate with regional transit authorities and local school districts to improve student busing and public transit options.
Mitigation,Support SANDAG iCommute Program for guaranteed ride home for the community.
Mitigation,Develop and implement a City Bike Rack Program.
Mitigation,Develop and implement a program to incentivize City employees commuting to work by bike or other modes of alternative transport as a model for other local employers.
Mitigation,Adopt the National Association of City Transportation Officials Urban Bikeway Design Guide and utilize as a policy in the Capital Improvement Program (CIP) roadway projects.
Mitigation,"Update the City's Housing Element and implement and enforce the City's existing specific plans (Downtown Encinitas Specific Plan and the North 101 Corridor Specific Plan) to reduce Vehicle Miles Traveled and encourage dense, infill development. The 5th cycle Housing Element was adopted by City Council on March 27, 2019. The updated Housing Element promotes higher density, infill development for low income housing throughout City at specific locations. The 5th cycle Housing Element will add1,504 new affordable housing units throughout the City. Several infill development sites were selected as locations for the increased housing and many are served by public transportation. Up-zoning to increase density is a component of the updated Housing Element. The Downtown Encinitas and North 101 Corridor Specific Plans also encourage denser development opportunities, including allowances for mixed use. These more densely developed areas can support greater usage of alternative transportation modes, including biking, walking and transit. The City’s NCTD Coaster station is located within downtown Encinitas and one of the most popular cycling routes in the county is located along North Coast Highway 101."
Mitigation,"Develop building regulations that support bike parking and the installation of bike racks, including covered bike parking/storage and allowing bike parking spaces to contribute to a development's overall parking requirement."
Mitigation,"Install traffic infrastructure enhancements that support biking and walking. Could include bike sensors and associated street markings to indicate the location of the sensor, pedestrian detectors at intersection, cross walks, traffic bollards, etc."
Mitigation,"Implement a monitoring program for assessing biking, walking and transit ridership in the City to determine the baseline level of travel and facilitate the development of appropriate mode shift targets for the City."
Mitigation,Complete the Modal Alternatives Plan to support this design and installation of the bike and pedestrian projects identified in the Active Transportation Plan.
Mitigation,Improve traffic flow by retiming traffic signals and installing roundabout at intersections in the City.
Mitigation,Identify rebate and incentive programs and financing opportunities for installing roundabouts.
Mitigation,Update the City's Circulation Element to support improved traffic flow.
Mitigation,"Starting in 2018, require new residential units to install EVCS equipment. For 1) Single Family: Install complete 40-Amp electrical circuit (EV Ready) 2) Multi-Family: Install EVCS equipment at 15% of the total number of parking spaces."
Mitigation,"Stating in 2018, require installation of EVCS at 8% of the total number of parking spaces. For 1) all new commercial buildings, including the commercial portion of mixed-use projects, 2) commercial building modifications, alterations, and additions that require building permits with square footage larger than 10,000 sq. ft."
Mitigation,Expand and implement a Green Building Incentive Program to increase electric vehicle charging at home and businesses.
Mitigation,Complete and implement an Electric Vehicle Charging Station Master Plan to increase the use of Zero-Emission vehicles by the community.
Mitigation,Work with SDG&E to explore projects through their Power Your Drive Program.
Mitigation,Develop and implement EV charging plan for municipal facilities.
Mitigation,Pursue partnerships with school districts and NCTD to explore the use of electric busing or public transit busing for schools.
Mitigation,"Implement a wayfinding program with signage and information systems to facilitate walking, biking, and efficient driving and parking."
Mitigation,Implement educational activities to raise awareness about EVs among residents and businesses.
Mitigation,Develop and implement a program to incentivize City employees commuting to work by Electric Vehicle or other modes of alternative transport as a model for other local employers.
Mitigation,"Develop a municipal fleet replacement plan to 1) convert gasoline-fueled cars and light-duty trucks to Zero Emission Vehicles, including all-electric vehicles or other ZEV technology by 2030. 2) convert to renewable diesel for all diesel-fueled heavy-duty trucks by 2020. At the time that commuter mode share measures are calculated and included in the CAP, as described in CET-1, ZEV options for heavy duty fleet vehicles will also be evaluated and a revised target for heavy duty vehicles will be consider based on any advances in ZEV technology."
Mitigation,"Develop a policy for City Council consideration to facilitate telecommuting by City employees, based on job function, with approval from supervisor and human resources."
Mitigation,Install EV charging stations at municipal facilities.
Mitigation,Develop a City vehicle fleet conversion plan and identify funding to support conversion of fleet vehicles.
Mitigation,"Expand the City employee alternative commute program to include incentives to commute by bicycle, walking, carpooling, or electric vehicle, as approved by City Council."
